frequency	angle1	angle2	angle3
1.591883e+00	3.290494e-03	7.486310e-03	4.748116e-03
1.603335e+00	4.379647e-03	8.589675e-03	6.144415e-03
1.614787e+00	4.279897e-03	9.565076e-03	6.720557e-03
1.626240e+00	4.671810e-03	6.816564e-03	4.975803e-03
1.637692e+00	4.232210e-03	6.522414e-03	5.583688e-03
1.649145e+00	4.214218e-03	7.869795e-03	4.828719e-03
1.660597e+00	4.125425e-03	1.026575e-02	6.074239e-03
1.672049e+00	4.143457e-03	1.317766e-02	6.701221e-03
1.683502e+00	4.493404e-03	1.353314e-02	7.788624e-03
1.694954e+00	3.075768e-03	9.435960e-03	6.621641e-03
1.706406e+00	3.107358e-03	7.717021e-03	4.053010e-03
1.717859e+00	8.775427e-03	2.240931e-02	6.969421e-03
1.729311e+00	1.151211e-02	3.116525e-02	9.798446e-03
1.740764e+00	3.484652e-03	5.511892e-03	4.029262e-03
1.752216e+00	1.289379e-02	3.994543e-02	1.018746e-02
1.763668e+00	7.369112e-03	1.683613e-02	7.342387e-03
1.775121e+00	4.752064e-03	1.495597e-02	2.488918e-03
1.786573e+00	2.209055e-03	3.630836e-03	4.116555e-03
1.798026e+00	2.350029e-03	5.207955e-03	3.826783e-03
1.809478e+00	1.596764e-03	2.015037e-03	3.461295e-03
1.820930e+00	3.117739e-03	3.835182e-03	3.416798e-03
1.832383e+00	2.012990e-03	3.269036e-03	3.099343e-03
1.843835e+00	1.642600e-03	2.066338e-03	1.250642e-03
1.855288e+00	1.408332e-03	1.979180e-03	2.373333e-03
1.866740e+00	2.333568e-03	5.129718e-03	3.840256e-03
1.878192e+00	1.988219e-03	3.890656e-03	2.542397e-03
1.889645e+00	3.180333e-03	4.664615e-03	4.582408e-03
1.901097e+00	2.501391e-03	4.474869e-03	3.615620e-03
1.912550e+00	1.967842e-03	3.759330e-03	2.878262e-03
1.924002e+00	2.400137e-03	4.083532e-03	3.395027e-03
1.935454e+00	2.894446e-03	5.475530e-03	3.067801e-03
