frequency	angle1	angle2	angle3
3.858053e+00	3.232177e-03	6.358539e-04	8.265645e-04
3.876251e+00	3.657075e-03	4.792557e-04	4.163047e-04
3.894449e+00	3.257429e-03	3.430384e-04	2.628267e-04
3.912648e+00	3.487038e-03	7.233561e-04	2.252240e-04
3.930846e+00	4.284695e-03	3.967082e-04	9.921123e-04
3.949045e+00	4.523200e-03	8.144674e-04	7.409963e-04
3.967243e+00	4.109498e-03	5.757099e-04	1.667572e-04
3.985441e+00	4.219468e-03	3.243767e-05	5.307078e-04
4.003640e+00	4.432269e-03	9.386764e-04	4.612434e-04
4.021838e+00	4.879718e-03	8.553444e-04	7.647381e-04
4.040036e+00	4.247371e-03	7.053287e-04	5.039532e-04
4.058235e+00	4.663949e-03	1.151565e-03	5.345850e-04
4.076433e+00	4.564128e-03	2.648189e-04	3.407751e-04
4.094631e+00	3.607203e-03	6.735290e-04	3.548508e-04
4.112830e+00	5.522212e-03	4.636782e-04	6.547304e-04
4.131028e+00	3.612693e-03	4.459033e-04	5.363933e-04
4.149227e+00	5.185307e-03	1.996754e-04	2.891451e-04
4.167425e+00	4.755859e-03	3.407120e-04	1.658227e-03
4.185623e+00	4.241932e-03	3.604674e-04	5.110270e-04
4.203822e+00	3.117066e-03	1.356819e-04	7.369338e-04
4.222020e+00	4.473810e-03	9.855192e-04	8.825309e-04
4.240218e+00	4.164822e-03	3.742088e-04	2.183964e-04
4.258417e+00	2.606100e-03	3.897161e-04	3.042653e-04
4.276615e+00	4.068705e-03	5.266682e-04	2.553895e-04
4.294813e+00	3.448503e-03	2.150601e-04	4.815174e-04
4.313012e+00	3.490766e-03	8.557309e-04	9.322385e-04
4.331210e+00	3.886060e-03	3.508388e-04	8.714635e-05
4.349409e+00	5.386714e-03	4.965123e-04	5.381623e-04
4.367607e+00	2.879462e-03	5.305626e-04	4.060316e-04
4.385805e+00	4.102977e-03	2.697172e-04	1.025854e-03
4.404004e+00	4.914961e-03	4.645308e-04	1.582525e-03
4.422202e+00	1.938649e-03	9.643261e-04	1.481732e-03
4.440400e+00	4.326498e-03	7.838911e-04	1.410614e-03
4.458599e+00	4.032352e-03	6.514264e-04	2.625882e-04
