#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
23.639	-2.16	-6.66	-1.26
23.697	-1.62	-6.12	-0.9
23.758	-1.26	-4.68	-0.54
23.817	-0.72	-3.06	-0.18
23.877	-0.18	-0.9	0.18
23.934	0.36	1.08	0.36
23.986	0.72	2.88	0.72
24.037	1.08	4.32	0.72
24.089	1.44	5.58	0.9
24.142	1.8	6.48	1.08
24.194	1.98	6.66	1.08
24.248	2.16	6.48	1.08
24.298	2.16	5.94	1.08
24.349	2.16	4.68	0.9
24.402	1.98	3.24	0.72
24.453	1.44	1.44	0.54
24.505	0.9	-0.36	0.18
24.558	0.18	-2.16	-0.18
24.614	-0.72	-3.96	-0.54
24.672	-1.62	-5.58	-1.08
24.732	-2.34	-6.48	-1.44
24.789	-2.7	-6.66	-1.62
24.85	-2.88	-6.48	-1.62
24.908	-2.7	-5.4	-1.62
24.967	-2.16	-3.78	-1.26
25.027	-1.26	-1.98	-0.72
25.085	-0.18	0	0
25.137	0.72	1.62	0.54
25.186	1.62	3.24	1.08
25.235	2.34	4.68	1.44
25.285	2.7	5.76	1.8
25.339	3.06	6.48	1.98
25.389	3.06	6.66	1.98
25.441	2.7	6.3	1.62
25.492	2.16	5.58	1.26
25.544	1.62	4.32	0.9
25.594	0.9	2.88	0.36
25.645	0.18	1.26	-0.18
25.699	-0.54	-0.72	-0.72
25.756	-0.9	-2.7	-1.08
25.815	-1.44	-4.5	-1.44
25.875	-1.62	-5.76	-1.44
25.933	-1.8	-6.66	-1.44
25.992	-1.8	-6.66	-1.26
26.05	-1.62	-6.12	-0.9
26.109	-1.44	-5.04	-0.54
26.167	-1.08	-3.42	-0.18
26.227	-0.72	-1.44	0
26.283	-0.18	0.54	0.36
26.338	0.36	2.34	0.54
26.389	0.72	3.96	0.72
26.441	1.44	5.22	0.9
26.494	1.98	6.12	1.08
26.544	2.34	6.66	1.08
26.595	2.52	6.48	1.08
26.647	2.7	5.94	1.08
26.698	2.7	5.04	1.08
26.751	2.34	3.6	0.9
26.803	1.8	1.98	0.54
26.855	0.9	0.18	0.36
26.906	0.18	-1.62	0
26.959	-0.72	-3.42	-0.54
27.018	-1.8	-5.04	-0.9
27.076	-2.52	-6.12	-1.26
27.136	-2.88	-6.66	-1.62
27.193	-2.88	-6.48	-1.62
27.252	-2.7	-5.76	-1.62
27.309	-1.98	-4.5	-1.26
27.366	-1.08	-2.7	-0.9
27.425	-0.18	-0.9	-0.18
27.483	0.9	1.08	0.36
27.534	1.62	2.88	0.9
27.586	2.16	4.32	1.26
27.638	2.52	5.58	1.62
27.69	2.7	6.3	1.8
27.74	2.52	6.48	1.8
27.792	2.34	6.48	1.62
27.844	1.98	5.76	1.44
27.895	1.44	4.68	0.9
27.949	0.9	3.24	0.54
27.998	0.54	1.62	0
28.048	0	-0.18	-0.54
28.105	-0.54	-2.16	-0.9
28.163	-0.9	-3.96	-1.26
28.222	-1.26	-5.4	-1.44
28.281	-1.62	-6.3	-1.44
28.343	-1.8	-6.66	-1.26
28.402	-1.8	-6.3	-0.9
28.463	-1.8	-5.22	-0.72
28.522	-1.62	-3.6	-0.36
28.582	-1.26	-1.8	0
28.636	-0.72	0.18	0.18
28.688	0	1.8	0.54
28.736	0.72	3.42	0.72
28.788	1.44	4.86	0.9
28.837	1.98	5.76	0.9
28.886	2.52	6.3	1.08
28.938	2.88	6.48	1.08
28.988	3.06	6.3	1.08
29.04	2.88	5.4	1.08
29.093	2.52	4.14	0.9
29.147	1.8	2.7	0.72
29.198	0.9	0.9	0.36
29.247	0	-0.72	0
29.3	-0.9	-2.52	-0.36
29.359	-1.62	-4.32	-0.72
29.419	-2.34	-5.58	-1.26
29.478	-2.7	-6.3	-1.44
29.534	-2.7	-6.48	-1.62
29.593	-2.34	-6.12	-1.62
29.65	-1.8	-5.04	-1.44
29.707	-1.08	-3.42	-0.9
29.767	-0.18	-1.62	-0.36
29.828	0.54	0.36	0.18
29.88	1.26	2.16	0.72
29.932	1.62	3.78	1.08
29.985	1.98	5.04	1.44
30.037	2.16	5.94	1.8
30.09	2.16	6.48	1.8
30.143	2.16	6.48	1.62
30.197	1.98	5.94	1.44
30.248	1.62	4.86	1.08
30.301	1.26	3.42	0.54
30.35	0.9	1.98	0.18
30.4	0.54	0.18	-0.36
30.453	0	-1.62	-0.72
30.51	-0.36	-3.42	-1.08
30.568	-0.9	-5.04	-1.44
30.627	-1.44	-6.12	-1.44
30.687	-1.98	-6.48	-1.26
30.746	-2.16	-6.3	-1.08
30.806	-2.34	-5.58	-0.72
30.865	-1.98	-4.14	-0.54
30.924	-1.62	-2.34	-0.18
30.982	-0.9	-0.36	0.18
31.037	0	1.26	0.36
31.086	0.72	2.88	0.72
31.137	1.62	4.32	0.9
31.189	2.16	5.58	0.9
31.242	2.7	6.12	1.08
31.293	3.06	6.48	1.08
31.345	3.06	6.3	1.08
31.396	2.88	5.58	1.08
31.447	2.34	4.32	0.9
31.5	1.62	2.88	0.72
31.552	0.72	1.26	0.54
31.604	-0.18	-0.54	0.18
31.66	-0.9	-2.34	-0.36
31.717	-1.62	-4.14	-0.72
31.775	-2.16	-5.4	-1.08
31.835	-2.34	-6.3	-1.44
31.895	-2.34	-6.48	-1.62
31.955	-1.98	-5.94	-1.62
32.012	-1.44	-5.04	-1.44
32.07	-0.9	-3.42	-0.9
32.128	-0.18	-1.62	-0.54
32.187	0.36	0.18	0
32.236	0.72	1.8	0.54
32.287	1.26	3.42	1.08
32.341	1.44	4.86	1.44
32.392	1.8	5.76	1.62
32.443	1.98	6.3	1.8
32.494	1.98	6.48	1.8
32.543	1.98	6.12	1.62
32.596	1.98	5.22	1.26
32.649	1.8	3.96	0.72
32.7	1.44	2.34	0.18
32.751	1.08	0.72	-0.18
32.805	0.54	-1.08	-0.72
32.862	-0.18	-3.06	-1.08
32.922	-0.9	-4.68	-1.26
32.981	-1.62	-5.76	-1.44
33.039	-2.16	-6.3	-1.44
33.098	-2.52	-6.3	-1.26
33.154	-2.52	-5.76	-0.9
33.212	-2.16	-4.5	-0.54
33.273	-1.62	-2.88	-0.18
33.331	-0.72	-1.08	0.18
33.385	0	0.72	0.36
33.437	0.9	2.52	0.54
33.488	1.62	3.96	0.72
33.538	2.34	5.04	0.9
33.592	2.7	5.94	1.08
33.643	2.88	6.3	1.08
33.696	2.88	6.3	1.08
33.747	2.52	5.76	1.08
33.799	2.16	4.68	0.9
33.849	1.44	3.42	0.72
33.9	0.72	1.8	0.54
33.951	0	0	0.18
34.002	-0.72	-1.62	-0.18
34.059	-1.26	-3.42	-0.54
34.118	-1.62	-4.86	-0.9
34.176	-1.98	-5.94	-1.26
34.233	-1.98	-6.3	-1.44
34.293	-1.8	-6.3	-1.62
34.351	-1.62	-5.4	-1.44
34.408	-1.26	-4.14	-1.26
34.468	-0.72	-2.34	-0.72
34.527	-0.18	-0.54	-0.18
34.585	0.36	1.44	0.36
34.636	0.72	2.88	0.9
34.685	1.26	4.32	1.26
34.736	1.62	5.4	1.62
34.787	1.98	6.12	1.8
34.839	2.16	6.3	1.8
34.89	2.34	6.12	1.62
34.941	2.34	5.4	1.26
34.994	2.16	4.32	0.9
35.046	1.8	2.88	0.36
35.097	1.26	1.26	-0.18
35.151	0.54	-0.54	-0.54
35.206	-0.18	-2.34	-0.9
35.264	-0.9	-4.14	-1.26
35.324	-1.62	-5.4	-1.26
35.382	-2.34	-6.12	-1.26
35.441	-2.52	-6.3	-1.26
35.499	-2.52	-5.94	-0.9
35.558	-2.16	-4.86	-0.72
35.616	-1.62	-3.42	-0.36
35.676	-0.9	-1.62	0
35.732	0	0.18	0.18
35.78	0.9	1.8	0.36
35.83	1.44	3.24	0.72
35.882	2.16	4.68	0.9
35.936	2.52	5.76	0.9
35.986	2.7	6.12	1.08
36.04	2.7	6.3	1.08
36.09	2.34	5.94	1.08
36.139	1.98	5.04	1.08
36.19	1.44	3.96	0.9
36.241	0.9	2.52	0.72
36.29	0.36	0.9	0.36
36.342	-0.18	-0.9	0
36.399	-0.9	-2.7	-0.36
36.46	-1.26	-4.32	-0.72
36.519	-1.62	-5.58	-1.08
36.577	-1.8	-6.12	-1.44
36.636	-1.8	-6.3	-1.62
36.695	-1.62	-5.76	-1.44
36.753	-1.44	-4.5	-1.26
36.814	-1.08	-2.88	-0.9
36.873	-0.72	-1.08	-0.36
36.93	-0.18	0.72	0.18
36.984	0.54	2.34	0.72
37.032	0.9	3.78	1.08
37.082	1.44	5.04	1.44
37.134	1.98	5.76	1.8
37.184	2.34	6.12	1.8
37.233	2.52	6.12	1.62
37.284	2.52	5.76	1.44
37.337	2.34	4.68	1.08
37.389	1.98	3.42	0.54
37.44	1.44	1.98	0.18
37.493	0.72	0.18	-0.36
37.546	0	-1.44	-0.72
37.601	-0.9	-3.24	-1.08
37.659	-1.62	-4.68	-1.26
37.718	-2.34	-5.76	-1.44
37.778	-2.52	-6.12	-1.26
37.835	-2.52	-6.12	-1.08
37.894	-2.16	-5.4	-0.72
37.952	-1.62	-4.14	-0.36
38.012	-0.9	-2.34	-0.18
38.074	0	-0.54	0.18
38.128	0.72	1.26	0.36
38.178	1.44	2.88	0.54
38.229	1.8	4.14	0.72
38.281	2.16	5.22	0.9
38.332	2.34	5.94	1.08
38.384	2.34	6.3	1.08
38.437	2.16	5.94	1.08
38.487	1.98	5.4	1.08
38.541	1.44	4.14	0.9
38.593	1.08	2.88	0.72
38.644	0.54	1.26	0.54
38.696	0.18	-0.36	0.18
38.749	-0.36	-2.34	-0.18
38.807	-0.9	-3.96	-0.72
38.866	-1.26	-5.22	-1.08
38.925	-1.62	-5.94	-1.44
38.985	-1.98	-6.3	-1.62
39.045	-1.98	-5.76	-1.62
39.102	-1.8	-4.86	-1.44
39.161	-1.44	-3.42	-0.9
39.22	-1.08	-1.62	-0.36
39.28	-0.36	0.36	0.18
39.334	0.36	1.98	0.72
39.385	1.08	3.42	1.08
39.437	1.62	4.68	1.44
39.488	2.16	5.76	1.62
39.539	2.52	6.12	1.8
39.591	2.7	6.12	1.62
39.643	2.7	5.76	1.44
39.696	2.34	4.86	1.08
39.745	1.98	3.6	0.54
39.797	1.26	2.16	0.18
39.848	0.54	0.54	-0.36
39.903	-0.18	-1.26	-0.72
39.961	-1.08	-3.06	-1.08
40.019	-1.62	-4.5	-1.26
40.078	-2.16	-5.58	-1.26
40.134	-2.34	-6.12	-1.26
40.193	-2.34	-6.12	-1.08
40.253	-1.98	-5.4	-0.72
40.311	-1.44	-4.32	-0.54
40.37	-0.72	-2.52	-0.18
40.428	-0.18	-0.72	0
40.487	0.54	1.08	0.36
40.537	1.08	2.7	0.54
40.59	1.44	3.96	0.72
40.64	1.8	5.22	0.9
40.694	1.98	5.94	0.9
40.746	2.16	6.12	1.08
40.798	2.16	5.94	1.08
40.85	1.98	5.4	1.08
40.902	1.8	4.14	1.08
40.955	1.44	2.88	0.9
41.005	0.9	1.26	0.54
41.055	0.54	-0.18	0.18
41.107	-0.18	-2.16	-0.18
41.168	-0.72	-3.78	-0.72
41.227	-1.44	-5.04	-1.08
41.286	-1.8	-5.94	-1.44
41.347	-2.16	-6.12	-1.62
41.405	-2.16	-5.76	-1.62
41.464	-1.98	-4.86	-1.26
41.523	-1.62	-3.42	-0.9
41.581	-1.08	-1.62	-0.36
41.639	-0.18	0.18	0.18
41.692	0.54	1.8	0.72
41.746	1.26	3.24	1.08
41.796	1.8	4.5	1.44
41.849	2.34	5.58	1.62
41.902	2.7	5.94	1.62
41.956	2.7	6.12	1.62
42.008	2.52	5.58	1.26
42.06	2.16	4.68	0.9
42.112	1.62	3.6	0.54
42.164	1.08	1.98	0.18
42.214	0.36	0.54	-0.36
42.267	-0.36	-1.26	-0.72
42.326	-1.08	-3.06	-1.08
42.384	-1.62	-4.5	-1.26
42.442	-1.98	-5.58	-1.26
42.501	-1.98	-6.12	-1.08
42.56	-1.98	-5.94	-0.9
42.621	-1.8	-5.22	-0.72
42.679	-1.26	-4.14	-0.54
42.739	-0.72	-2.52	-0.18
42.799	-0.18	-0.54	0
42.856	0.36	1.26	0.18
42.906	0.9	2.7	0.54
42.956	1.26	3.96	0.72
43.006	1.62	5.04	0.9
43.059	1.98	5.76	1.08
43.109	2.16	6.12	1.08
43.159	2.16	5.94	1.08
